Churn,Genero,Ciudadano_Senior,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Television_Streaming,Peliculas_Streaming,Tipo_Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales_Total,Cuentas_Diarias
1.0,Female,0,1.0,0.0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0.0,Electronic check,1215.6,40.519999999999996
0.0,Female,0,1.0,1.0,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1.0,Electronic check,1849.95,61.665
0.0,Female,0,0.0,0.0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,57.2,1.9066666666666667
1.0,Female,0,1.0,1.0,4,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,76.35,2.545
1.0,Female,0,1.0,1.0,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0.0,Bank transfer (automatic),30.5,1.0166666666666666
0.0,Female,0,1.0,1.0,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1.0,Bank transfer (automatic),5656.75,188.55833333333334
0.0,Male,0,1.0,1.0,54,1,0,No,0,0,0,0,0,0,Two year,0.0,Credit card (automatic),1090.6,36.35333333333333
0.0,Male,0,0.0,0.0,26,1,0,No,0,0,0,0,0,0,One year,1.0,Bank transfer (automatic),471.85,15.728333333333333
0.0,Female,0,1.0,1.0,69,1,0,No,0,0,0,0,0,0,Two year,0.0,Bank transfer (automatic),1396.9,46.56333333333334
,Female,0,0.0,0.0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1.0,Bank transfer (automatic),929.3,30.976666666666667
0.0,Male,0,1.0,1.0,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0.0,Credit card (automatic),3247.55,108.25166666666668
0.0,Female,0,1.0,0.0,49,1,0,No,0,0,0,0,0,0,One year,0.0,Bank transfer (automatic),900.9,30.029999999999998
0.0,Male,0,1.0,0.0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0.0,Bank transfer (automatic),7942.15,264.73833333333334
0.0,Female,0,0.0,0.0,67,1,0,No,0,0,0,0,0,0,One year,0.0,Electronic check,1343.4,44.78
0.0,Male,0,1.0,1.0,20,0,0,DSL,1,0,1,1,0,0,Two year,1.0,Credit card (automatic),825.4,27.513333333333332
0.0,Female,0,0.0,1.0,43,1,1,No,0,0,0,0,0,0,Two year,1.0,Electronic check,1070.15,35.67166666666667
0.0,Female,0,1.0,0.0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1.0,Bank transfer (automatic),4959.6,165.32000000000002
0.0,Female,0,1.0,0.0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1.0,Electronic check,5597.65,186.5883333333333
0.0,Female,0,1.0,1.0,12,1,0,No,0,0,0,0,0,0,Two year,0.0,Bank transfer (automatic),224.5,7.483333333333333
0.0,Male,0,1.0,1.0,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Bank transfer (automatic),1929.0,64.3
1.0,Male,1,0.0,0.0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1.0,Electronic check,91.1,3.0366666666666666
0.0,Female,0,0.0,0.0,27,1,0,DSL,0,1,1,1,1,1,One year,0.0,Mailed check,2078.95,69.29833333333333
0.0,Male,0,1.0,1.0,25,1,1,No,0,0,0,0,0,0,Two year,0.0,Credit card (automatic),630.6,21.02
0.0,Male,0,1.0,1.0,25,1,0,DSL,1,1,1,0,0,0,One year,1.0,Bank transfer (automatic),1611.0,53.7
0.0,Male,0,0.0,1.0,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1.0,Mailed check,1242.45,41.415
0.0,Male,0,1.0,0.0,72,1,1,DSL,0,1,1,1,1,1,Two year,1.0,Bank transfer (automatic),6316.2,210.54
0.0,Female,0,0.0,0.0,14,1,0,DSL,0,1,0,0,0,0,One year,0.0,Credit card (automatic),727.85,24.261666666666667
0.0,Female,0,0.0,0.0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1.0,Electronic check,3532.0,117.73333333333333
0.0,Male,0,0.0,0.0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1.0,Mailed check,44.3,1.4766666666666666
0.0,Male,0,0.0,0.0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1.0,Electronic check,2607.6,86.92
0.0,Male,0,0.0,0.0,64,1,1,DSL,1,1,1,1,1,0,One year,0.0,Electronic check,5567.55,185.585
0.0,Female,0,1.0,1.0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1.0,Credit card (automatic),3767.4,125.58
0.0,Female,1,0.0,0.0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1.0,Electronic check,3673.6,122.45333333333333
1.0,Male,0,0.0,0.0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1.0,Credit card (automatic),4036.85,134.56166666666667
1.0,Female,1,0.0,0.0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1.0,Electronic check,1120.3,37.343333333333334
0.0,Female,0,1.0,0.0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0.0,Electronic check,314.55,10.485000000000001
0.0,Male,0,0.0,0.0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1.0,Mailed check,1888.45,62.94833333333334
0.0,Male,0,0.0,0.0,27,1,0,No,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,529.8,17.66
0.0,Male,1,1.0,0.0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1.0,Electronic check,7308.95,243.63166666666666
0.0,Female,0,1.0,0.0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1.0,Bank transfer (automatic),6252.7,208.42333333333332
0.0,Male,0,1.0,0.0,58,1,0,DSL,0,0,1,0,0,0,One year,0.0,Credit card (automatic),2878.55,95.95166666666667
0.0,Male,0,0.0,0.0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1.0,Bank transfer (automatic),1212.1,40.40333333333333
0.0,Female,0,1.0,0.0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1.0,Electronic check,8182.85,272.76166666666666
1.0,Male,0,0.0,0.0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,19.85,0.6616666666666667
1.0,Male,0,0.0,1.0,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1.0,Electronic check,99.75,3.325
0.0,Male,1,1.0,1.0,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1.0,Mailed check,2861.45,95.38166666666666
0.0,Male,0,1.0,1.0,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1.0,Bank transfer (automatic),1442.2,48.07333333333334
1.0,Male,0,1.0,0.0,49,1,1,DSL,1,0,1,1,1,1,One year,0.0,Electronic check,4059.35,135.31166666666667
0.0,Female,0,1.0,0.0,71,0,0,DSL,0,1,1,1,1,1,Two year,0.0,Bank transfer (automatic),4145.9,138.19666666666666
0.0,Female,0,0.0,0.0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0.0,Electronic check,3645.5,121.51666666666667
0.0,Female,0,1.0,0.0,10,1,0,No,0,0,0,0,0,0,Month-to-month,1.0,Bank transfer (automatic),187.75,6.258333333333334
1.0,Male,0,1.0,0.0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1.0,Electronic check,2317.1,77.23666666666666
1.0,Male,0,1.0,1.0,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0.0,Bank transfer (automatic),1448.8,48.29333333333333
0.0,Female,1,0.0,0.0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1.0,Credit card (automatic),2193.65,73.12166666666667
,Male,0,0.0,0.0,71,1,0,No,0,0,0,0,0,0,Two year,1.0,Credit card (automatic),1355.1,45.169999999999995
0.0,Male,0,0.0,0.0,50,0,0,DSL,1,0,0,1,0,0,One year,1.0,Mailed check,1748.9,58.29666666666667
1.0,Female,0,0.0,0.0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,511.25,17.041666666666668
0.0,Female,0,1.0,1.0,61,1,1,DSL,1,1,1,1,1,1,Two year,0.0,Mailed check,5526.75,184.225
1.0,Male,0,0.0,0.0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1.0,Electronic check,1553.95,51.79833333333333
0.0,Female,0,0.0,1.0,26,0,0,DSL,1,0,0,1,0,1,Month-to-month,0.0,Mailed check,1147.0,38.233333333333334
0.0,Male,0,1.0,0.0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1.0,Electronic check,6747.35,224.9116666666667
0.0,Male,0,1.0,1.0,44,1,0,No,0,0,0,0,0,0,One year,1.0,Bank transfer (automatic),865.05,28.834999999999997
0.0,Male,0,0.0,0.0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0.0,Credit card (automatic),5976.9,199.23
1.0,Female,0,0.0,0.0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1.0,Electronic check,181.65,6.055000000000001
0.0,Female,1,0.0,0.0,44,1,0,DSL,0,0,1,1,1,1,One year,0.0,Bank transfer (automatic),3268.05,108.935
1.0,Female,0,0.0,0.0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1.0,Bank transfer (automatic),1052.4,35.080000000000005
0.0,Male,1,1.0,0.0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1.0,Electronic check,7634.25,254.475
1.0,Female,0,0.0,0.0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1.0,Mailed check,80.2,2.6733333333333333
1.0,Female,0,0.0,0.0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,63.75,2.125
0.0,Female,0,1.0,0.0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0.0,Electronic check,190.5,6.35
0.0,Female,1,0.0,0.0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1.0,Bank transfer (automatic),2401.05,80.03500000000001
0.0,Male,0,0.0,0.0,26,1,0,No,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,511.25,17.041666666666668
0.0,Female,1,1.0,0.0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1.0,Electronic check,3949.15,131.63833333333335
1.0,Male,0,0.0,0.0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1.0,Bank transfer (automatic),2362.1,78.73666666666666
1.0,Female,0,0.0,0.0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,70.9,2.3633333333333337
,Male,0,0.0,0.0,29,1,0,DSL,1,1,0,1,0,0,One year,1.0,Electronic check,1696.2,56.54
1.0,Male,0,1.0,0.0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1.0,Electronic check,1152.7,38.42333333333333
,Female,1,0.0,0.0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0.0,Credit card (automatic),287.85,9.595
0.0,Female,0,0.0,0.0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1.0,Electronic check,8496.7,283.22333333333336
0.0,Female,0,0.0,0.0,24,1,0,No,0,0,0,0,0,0,Two year,1.0,Bank transfer (automatic),470.2,15.673333333333334
0.0,Female,0,1.0,0.0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1.0,Electronic check,1564.4,52.14666666666667
0.0,Male,0,1.0,1.0,71,1,1,No,0,0,0,0,0,0,Two year,0.0,Credit card (automatic),1847.55,61.585
0.0,Male,1,1.0,0.0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1.0,Bank transfer (automatic),3694.7,123.15666666666667
0.0,Female,0,0.0,0.0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,58.0,1.9333333333333333
0.0,Male,0,1.0,1.0,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0.0,Electronic check,4017.45,133.915
0.0,Male,0,1.0,1.0,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0.0,Mailed check,6825.65,227.52166666666665
0.0,Male,0,0.0,0.0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1.0,Bank transfer (automatic),8309.55,276.98499999999996
0.0,Male,1,1.0,0.0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1.0,Electronic check,605.45,20.18166666666667
0.0,Female,0,1.0,1.0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0.0,Mailed check,1972.35,65.74499999999999
0.0,Male,0,0.0,0.0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,33.7,1.1233333333333335
0.0,Female,0,0.0,1.0,25,0,0,DSL,1,0,0,1,0,0,Two year,0.0,Bank transfer (automatic),844.45,28.148333333333333
0.0,Male,1,0.0,0.0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1.0,Electronic check,2111.3,70.37666666666668
1.0,Female,1,1.0,0.0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1.0,Credit card (automatic),6205.5,206.85
1.0,Male,0,1.0,0.0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1.0,Electronic check,855.3,28.509999999999998
0.0,Female,0,0.0,0.0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Credit card (automatic),633.85,21.128333333333334
1.0,Female,1,1.0,0.0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1.0,Electronic check,474.9,15.83
0.0,Female,0,1.0,1.0,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0.0,Bank transfer (automatic),5848.6,194.95333333333335
0.0,Female,1,0.0,0.0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1.0,Bank transfer (automatic),6471.85,215.72833333333335
1.0,Female,0,0.0,0.0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0.0,Credit card (automatic),8127.6,270.92
1.0,Male,0,0.0,0.0,25,1,1,No,0,0,0,0,0,0,One year,0.0,Bank transfer (automatic),676.35,22.545
0.0,Female,0,1.0,1.0,46,1,0,No,0,0,0,0,0,0,Two year,1.0,Mailed check,864.2,28.80666666666667
0.0,Female,0,1.0,0.0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1.0,Mailed check,6049.5,201.65
1.0,Female,0,0.0,0.0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0.0,Electronic check,1582.75,52.75833333333333
0.0,Female,0,1.0,1.0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Bank transfer (automatic),198.1,6.6033333333333335
0.0,Female,0,0.0,0.0,22,0,0,DSL,0,1,0,0,1,1,Month-to-month,1.0,Electronic check,1098.85,36.62833333333333
0.0,Female,0,1.0,0.0,70,0,0,DSL,0,1,1,1,1,1,Two year,0.0,Bank transfer (automatic),4039.3,134.64333333333335
0.0,Male,0,0.0,0.0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1.0,Credit card (automatic),2438.6,81.28666666666666
0.0,Male,0,1.0,1.0,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0.0,Bank transfer (automatic),7113.75,237.125
0.0,Male,0,1.0,0.0,30,1,0,No,0,0,0,0,0,0,One year,0.0,Credit card (automatic),576.65,19.221666666666668
1.0,Male,0,1.0,1.0,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1.0,Bank transfer (automatic),371.9,12.396666666666667
1.0,Male,0,0.0,0.0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1.0,Electronic check,167.3,5.576666666666667
0.0,Male,0,0.0,1.0,10,1,0,No,0,0,0,0,0,0,One year,1.0,Bank transfer (automatic),219.5,7.316666666666666
0.0,Male,1,0.0,0.0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0.0,Electronic check,273.4,9.113333333333333
0.0,Male,1,0.0,0.0,52,0,0,DSL,1,0,0,0,1,1,Month-to-month,1.0,Credit card (automatic),2555.05,85.16833333333334
1.0,Male,0,0.0,0.0,5,1,1,DSL,0,0,0,0,0,0,Month-to-month,0.0,Electronic check,223.15,7.4383333333333335
0.0,Male,0,1.0,1.0,8,1,0,No,0,0,0,0,0,0,Two year,0.0,Mailed check,165.5,5.516666666666667
0.0,Female,1,0.0,0.0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,89.3,2.9766666666666666
0.0,Male,0,0.0,0.0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0.0,Electronic check,235.05,7.835
0.0,Male,0,0.0,0.0,19,1,1,DSL,0,0,1,1,0,0,Month-to-month,0.0,Electronic check,1144.6,38.15333333333333
0.0,Male,0,0.0,0.0,72,1,1,DSL,1,1,1,1,0,0,Two year,0.0,Bank transfer (automatic),4908.25,163.60833333333332
0.0,Male,1,1.0,0.0,63,0,0,DSL,1,0,0,1,0,0,One year,0.0,Bank transfer (automatic),2298.9,76.63000000000001
0.0,Male,0,1.0,0.0,66,0,0,DSL,1,1,1,1,1,0,Two year,1.0,Bank transfer (automatic),3789.2,126.30666666666666
1.0,Male,0,0.0,0.0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1.0,Electronic check,75.9,2.5300000000000002
0.0,Female,0,0.0,0.0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1.0,Bank transfer (automatic),4765.0,158.83333333333334
0.0,Female,0,1.0,1.0,48,0,0,DSL,1,0,1,0,0,1,One year,0.0,Credit card (automatic),2196.3,73.21000000000001
1.0,Female,0,0.0,0.0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1.0,Credit card (automatic),85.55,2.8516666666666666
1.0,Male,0,0.0,0.0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1.0,Electronic check,1444.65,48.155
0.0,Female,0,1.0,0.0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1.0,Bank transfer (automatic),5405.8,180.19333333333333
0.0,Male,0,1.0,1.0,72,1,1,DSL,1,1,1,1,1,1,Two year,0.0,Credit card (automatic),6339.3,211.31
0.0,Female,0,0.0,0.0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0.0,Mailed check,3847.6,128.25333333333333
0.0,Female,0,1.0,1.0,72,1,1,DSL,1,1,1,1,1,1,Two year,0.0,Bank transfer (automatic),6733.0,224.43333333333334
0.0,Male,0,1.0,1.0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,19.7,0.6566666666666666
0.0,Female,0,0.0,0.0,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,50.1,1.6700000000000002
0.0,Female,1,0.0,0.0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1.0,Bank transfer (automatic),6140.85,204.69500000000002
0.0,Female,0,1.0,1.0,48,1,1,DSL,0,1,0,1,1,1,Two year,0.0,Electronic check,3870.3,129.01000000000002
0.0,Female,0,0.0,0.0,72,1,0,Fiber optic,1,1,1,1,1,1,Two year,1.0,Electronic check,7624.2,254.14
0.0,Male,0,1.0,0.0,52,1,1,DSL,1,1,1,1,0,1,One year,1.0,Credit card (automatic),4354.45,145.14833333333334
0.0,Female,0,1.0,1.0,67,1,0,DSL,0,1,0,0,0,0,One year,0.0,Credit card (automatic),3431.75,114.39166666666667
1.0,Female,0,1.0,1.0,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1.0,Electronic check,2227.1,74.23666666666666
0.0,Female,0,1.0,1.0,32,1,1,DSL,0,1,1,0,0,0,Month-to-month,0.0,Bank transfer (automatic),2045.55,68.185
1.0,Female,1,1.0,0.0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1.0,Bank transfer (automatic),1929.35,64.31166666666667
0.0,Male,0,0.0,0.0,3,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0.0,Electronic check,268.45,8.948333333333332
1.0,Male,0,0.0,0.0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1.0,Electronic check,181.5,6.05
1.0,Female,0,0.0,1.0,9,1,0,DSL,0,0,1,1,1,1,Month-to-month,1.0,Mailed check,651.4,21.71333333333333
0.0,Male,0,1.0,1.0,50,1,1,DSL,1,0,0,1,1,0,Two year,1.0,Credit card (automatic),3486.65,116.22166666666666
0.0,Female,0,1.0,1.0,71,1,0,No,0,0,0,0,0,0,Two year,0.0,Bank transfer (automatic),1389.6,46.32
1.0,Male,1,1.0,0.0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1.0,Electronic check,2303.35,76.77833333333334
0.0,Female,0,1.0,1.0,16,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0.0,Bank transfer (automatic),1522.7,50.75666666666667
0.0,Female,0,1.0,1.0,67,1,1,Fiber optic,0,0,1,1,1,1,Two year,1.0,Bank transfer (automatic),6717.9,223.92999999999998
0.0,Male,0,1.0,1.0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1.0,Credit card (automatic),8058.55,268.61833333333334
1.0,Female,0,0.0,0.0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Electronic check,58.85,1.9616666666666667
0.0,Male,0,1.0,1.0,23,1,1,No,0,0,0,0,0,0,One year,0.0,Mailed check,538.5,17.95
0.0,Male,0,1.0,1.0,72,1,1,DSL,1,1,1,1,0,0,Two year,0.0,Bank transfer (automatic),5102.35,170.07833333333335
0.0,Male,0,1.0,1.0,7,0,0,DSL,1,1,1,0,1,1,Month-to-month,0.0,Mailed check,465.7,15.523333333333333
,Male,1,1.0,0.0,65,1,1,Fiber optic,0,1,1,0,1,1,One year,1.0,Bank transfer (automatic),6792.45,226.415
0.0,Male,0,1.0,1.0,8,1,0,DSL,0,0,0,0,1,0,Month-to-month,1.0,Electronic check,475.1,15.836666666666668
0.0,Male,0,1.0,1.0,66,0,0,DSL,0,0,0,1,1,1,Two year,0.0,Bank transfer (automatic),3364.55,112.15166666666667
1.0,Male,0,0.0,0.0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0.0,Mailed check,113.85,3.795
1.0,Male,0,0.0,0.0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1.0,Bank transfer (automatic),5036.3,167.87666666666667
0.0,Male,0,1.0,0.0,63,1,0,No,0,0,0,0,0,0,Two year,1.0,Bank transfer (automatic),1234.8,41.16
0.0,Female,1,1.0,1.0,12,0,0,DSL,0,0,0,1,0,0,Month-to-month,1.0,Mailed check,355.9,11.863333333333333
0.0,Male,0,1.0,1.0,27,1,0,DSL,1,1,0,0,0,0,Month-to-month,1.0,Credit card (automatic),1510.3,50.343333333333334
0.0,Female,0,0.0,0.0,35,1,0,DSL,1,1,1,0,0,0,Month-to-month,0.0,Electronic check,1982.6,66.08666666666666
0.0,Female,0,1.0,1.0,54,1,1,DSL,0,1,1,1,1,1,Month-to-month,1.0,Electronic check,4524.05,150.80166666666668
1.0,Male,0,0.0,0.0,1,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1.0,Electronic check,95.45,3.1816666666666666
0.0,Male,0,0.0,0.0,5,1,0,DSL,0,0,1,1,1,0,Month-to-month,1.0,Credit card (automatic),318.1,10.603333333333333
0.0,Male,0,0.0,0.0,19,1,0,DSL,0,1,0,1,0,1,One year,1.0,Bank transfer (automatic),1231.85,41.06166666666666
0.0,Male,0,1.0,1.0,52,0,0,DSL,0,1,1,1,1,0,Two year,0.0,Mailed check,2554.0,85.13333333333334
0.0,Female,0,1.0,1.0,72,0,0,DSL,1,1,1,1,1,1,Two year,1.0,Bank transfer (automatic),4684.3,156.14333333333335
0.0,Male,0,0.0,0.0,32,1,0,No,0,0,0,0,0,0,Two year,1.0,Bank transfer (automatic),614.45,20.48166666666667
1.0,Female,0,1.0,0.0,8,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,0.0,Electronic check,842.9,28.096666666666668
0.0,Male,0,0.0,0.0,41,1,1,DSL,0,0,1,0,0,1,One year,0.0,Mailed check,2531.8,84.39333333333335
0.0,Male,0,0.0,0.0,5,1,0,No,0,0,0,0,0,0,Month-to-month,1.0,Mailed check,86.05,2.868333333333333
0.0,Female,0,0.0,1.0,11,0,0,DSL,1,0,0,1,0,0,One year,1.0,Mailed check,402.6,13.42
1.0,Male,0,0.0,0.0,5,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1.0,Electronic check,453.4,15.113333333333333
